y,fixacidity,volaacidity,ressugar,chlorides,freesulfdioxid,density,pH,sulphates,alcohol
1,-0.7759,3.7816,-1.0235,-0.7677,-0.3709,-1.6784,0.9386,-0.8749,1.8574
1,-0.5389,0.3131,-0.6884,-0.3557,-0.9589,-1.0136,-0.121,-1.2254,0.3947
1,-0.0649,-0.1824,-0.925,0.1477,0.3347,-0.3488,1.8658,-0.0863,-0.0116
0,0.8831,3.8807,-0.9644,1.292,-0.6061,-0.0164,-0.9157,0.1766,-0.9867
0,-0.3019,-0.0833,-1.0038,0.285,-1.1353,0.316,1.5347,-0.1739,-0.4179
0,0.1721,-0.2815,0.5143,0.0104,1.2167,0.6484,0.4088,0.089,-0.0928
0,0.0536,-0.3806,-1.063,0.285,-0.0181,-0.3488,1.7333,-0.4368,-0.4179
0,0.1721,0.0158,0.4552,0.2393,-0.1945,0.6484,1.2698,0.3518,-0.0116
0,0.6461,-0.0833,-1.0432,0.0562,-1.0765,-1.0136,0.0115,0.0013,0.8823
1,0.4091,0.4122,-0.8658,-0.5846,0.0995,-1.0136,-0.5845,1.929,1.4511
0,1.9496,-0.3806,0.7903,-0.0811,-0.9001,0.9808,0.0777,0.3518,-0.4179
0,1.7126,-1.3715,-1.0432,-0.1727,-1.6645,-0.3488,1.8658,-0.7873,-0.2554
0,0.6461,-0.2815,-0.8559,0.1935,-0.2533,-0.6812,0.0115,-0.4368,0.2322
0,-0.7759,-1.5697,-0.9644,-0.0354,0.4523,-0.0164,1.5347,0.1766,-1.2305
0,-1.2499,-0.0833,1.6874,-0.0811,-0.7825,0.6484,1.2035,-1.0501,-0.2554
0,0.5276,0.0158,-0.925,1.5666,-0.8413,-1.0136,0.0115,-0.612,1.8574
0,-0.4204,1.1059,-0.1955,0.2393,-0.6061,-0.3488,0.3426,-1.2254,-0.4179
0,0.1721,0.5113,-1.0235,0.3308,0.1583,-1.0136,-0.3859,-1.8387,0.5572
0,0.5276,-0.3806,2.2789,0.5139,0.5699,1.978,0.1439,-1.1378,-1.5555
0,0.5276,-0.3806,2.2789,0.5139,0.5699,1.978,0.1439,-1.1378,-1.5555
0,-0.1834,-0.4797,-0.7672,5.7775,1.6283,-0.0164,-0.5183,-1.1378,-0.9054
0,-0.1834,-0.3806,-0.6884,5.8233,1.6283,-0.0164,-0.5845,-1.313,-0.9054
0,0.1721,0.3131,0.1989,1.0631,-0.4297,0.316,-0.3859,-0.2615,-0.5804
0,-0.3019,-0.3806,-0.9841,0.5139,-0.1357,-0.3488,0.2102,0.6147,-0.8242
0,-0.1834,-0.4797,-0.9841,0.6512,-0.1357,-0.3488,0.3426,0.6147,-0.8242
1,0.6461,-0.9751,-0.9841,0.5597,0.1583,-0.3488,-0.1872,0.3518,-0.4179
0,-0.7759,1.7005,-0.3926,0.7885,1.6283,-0.0164,0.5413,0.2642,-0.5804
0,-0.7759,1.7996,-0.3926,0.9258,1.5695,-0.0164,0.4088,0.2642,-0.5804
0,0.1721,0.3131,0.1989,1.0631,-0.4297,0.316,-0.3859,-0.2615,-0.5804
0,0.0536,-0.876,-0.2743,0.9716,-0.1945,0.316,1.1373,-0.0863,-0.5804
0,0.4091,-0.876,-0.9447,0.7428,-0.2533,-0.6812,1.0711,-0.4368,0.9635
1,-0.3019,-0.2815,-1.0432,1.0174,0.2171,-1.0136,1.0049,0.7899,0.3947
1,-0.7759,-1.1733,-1.0432,0.5139,-0.8413,-1.0136,0.8724,-0.2615,0.3135
0,-0.5389,-0.9751,-1.063,-0.0354,0.2171,-1.0136,0.8062,-1.2254,0.3135
0,-0.0649,-0.7769,-1.0827,4.6333,0.1583,-0.3488,-0.9157,-0.9625,-1.1492
0,0.0536,-0.2815,-1.0038,-0.31,-0.3709,-1.0136,-0.3859,0.2642,0.3947
0,0.4091,-0.6779,1.0861,-0.1269,0.0995,0.6484,-0.6508,0.089,-0.7429
0,-1.0129,-0.876,1.1846,0.102,0.8639,0.9808,0.74,-1.1378,-1.3117
0,-0.3019,1.0068,-0.3532,-0.0811,-0.6061,-0.3488,-0.5183,-0.9625,-0.2554
0,0.6461,-0.7769,-1.0235,-0.3557,0.5111,-0.3488,1.1373,-1.313,-0.4991
0,-0.0649,-0.5788,-0.294,2.1159,-0.3121,0.316,-1.0481,-0.2615,-1.5555
0,-1.0129,-0.876,1.1846,0.102,0.8639,0.9808,0.74,-1.1378,-1.3117
0,0.1721,1.8987,-1.0432,-0.4931,-1.0765,-1.0136,-1.1143,-1.313,-0.0116
0,-0.3019,1.0068,-0.3532,-0.0811,-0.6061,-0.3488,-0.5183,-0.9625,-0.2554
0,0.4091,-0.3806,-0.9841,-0.3557,-0.2533,-0.3488,-0.2534,-0.2615,-0.1741
0,-0.7759,0.7095,-1.0235,0.8343,-0.3709,-0.3488,0.2102,0.4395,-1.1492
1,-0.5389,-0.1824,0.0017,-0.2642,-0.4885,-1.346,0.2102,0.0013,1.6949
0,-0.1834,-0.2815,-1.0235,-0.2184,2.6866,-0.6812,-0.3196,-0.612,-0.5804
1,-0.1834,-0.4797,-0.8461,0.0104,-0.3121,-0.3488,0.9386,1.3157,0.1509
0,0.6461,-0.3806,0.7312,0.1935,-0.8413,0.6484,-0.3859,-1.2254,-0.8242
0,-0.7759,-0.0833,0.2777,0.4681,0.7463,0.6484,-0.5845,0.1766,-1.2305
0,-0.0649,0.214,-0.3532,0.697,0.8933,0.6484,0.8724,0.9652,-0.8242
0,-1.0129,-0.0833,-0.3138,0.7885,-0.2533,0.6484,3.3227,1.929,-0.4179
0,2.0681,-0.4797,-1.063,0.3766,-1.5469,-0.0164,-1.5779,0.0013,-1.1492
1,-0.1834,-0.4797,-0.8461,0.0104,-0.3121,-0.3488,0.9386,1.3157,0.1509
0,0.6461,-0.3806,0.7312,0.1935,-0.8413,0.6484,-0.3859,-1.2254,-0.8242
1,0.2906,-0.9751,-0.9841,-0.1269,-0.2533,-1.346,0.4751,-1.0501,1.7761
1,0.1721,0.4122,-1.0038,-0.1727,-0.9001,-1.0136,0.8062,1.4033,1.2073
0,0.6461,-0.9751,0.4749,0.8343,-0.5473,0.6484,-1.6441,0.6147,-0.9867
0,-0.1834,2.5924,-0.1955,0.6512,-0.8413,0.316,0.5413,-1.0501,-1.2305
0,-0.0649,-0.5788,-0.9841,0.3308,-0.0769,-0.3488,1.336,2.4548,0.0697
0,0.2906,-0.7769,1.8944,0.1935,0.9227,1.6456,0.1439,0.9652,-1.068
0,0.2906,0.6104,-0.0575,0.7885,0.6875,0.316,-0.121,-0.612,-0.4179
0,0.5276,-0.5788,0.3566,0.0562,0.3935,0.9808,0.9386,-0.2615,-0.8242
0,0.2906,1.5023,1.0663,-0.0354,1.0991,0.9808,-0.5183,-0.3491,-1.4743
0,0.2906,1.6014,1.0663,-0.0811,0.9815,1.3132,-0.4521,-0.2615,-1.4743
0,0.4091,1.1059,0.9086,-0.0811,1.1579,0.9808,-0.6508,-0.4368,-1.4743
0,-0.0649,-0.2815,1.3621,0.1935,1.981,0.9808,0.2102,-0.0863,-0.6617
0,0.2906,1.5023,1.0663,-0.0354,1.0991,0.9808,-0.5183,-0.3491,-1.4743
0,0.2906,1.6014,1.0663,-0.0811,0.9815,1.3132,-0.4521,-0.2615,-1.4743
0,0.4091,1.1059,0.9086,-0.0811,1.1579,0.9808,-0.6508,-0.4368,-1.4743
0,-0.8944,-0.0833,0.2186,0.1477,1.7459,0.6484,-0.4521,-0.1739,-1.2305
1,0.0536,-0.3806,-0.925,-0.4931,0.6875,-1.346,0.4751,-0.7873,1.6949
1,0.0536,-0.6779,-0.9052,-0.5388,0.7463,-1.346,0.4088,-0.6996,1.6949
1,0.7646,-1.0742,-0.925,-0.2642,0.9227,-0.6812,0.1439,-0.4368,0.801
0,0.2906,-0.1824,1.1846,-0.0811,1.5695,0.9808,-0.9819,-0.612,-1.068
0,-1.0129,0.6104,1.8747,0.0104,-0.5473,1.3132,-0.3196,0.089,-1.393
1,2.0681,-0.0833,-1.0235,-0.5388,-1.1941,-1.0136,-1.5779,-1.1378,0.7198
0,3.4901,0.8086,0.81,-0.3557,-1.8409,0.6484,-1.9753,-1.6635,-0.3366
0,-1.0129,0.6104,1.8747,0.0104,-0.5473,1.3132,-0.3196,0.089,-1.393
0,0.6461,-0.2815,1.4015,0.6512,0.9815,1.3132,-1.2468,-0.4368,-1.1492
0,0.2906,-1.5697,0.6326,0.3766,1.6871,0.6484,1.4022,-0.6996,-0.9054
0,-1.0129,-0.6779,1.1255,0.1935,1.1579,0.9808,1.0049,-0.8749,-0.9054
0,0.7646,0.3131,2.4662,0.6054,0.5111,1.978,-1.313,-0.2615,-1.2305
0,0.6461,-0.2815,1.4015,0.6512,0.9815,1.3132,-1.2468,-0.4368,-1.1492
0,0.5276,-1.4706,1.579,0.2393,-0.0769,0.9808,0.0777,-1.2254,-1.068
0,0.2906,-1.5697,0.6326,0.3766,1.6871,0.6484,1.4022,-0.6996,-0.9054
0,0.2906,-0.4797,1.993,-0.2642,1.4519,1.6456,-0.1872,0.8776,-1.1492
0,0.2906,-0.4797,1.993,-0.2642,1.4519,1.6456,-0.1872,0.8776,-1.1492
0,0.0536,0.5113,-1.0038,0.2393,0.0995,-0.3488,0.5413,0.9652,-0.1741
0,-0.4204,-1.0742,0.4157,1.6582,1.6871,0.6484,-1.9753,-0.8749,-1.393
0,0.4091,-0.0833,2.4366,0.285,0.5699,1.978,-0.9819,0.2642,-1.3117
0,0.4091,0.3131,1.3621,0.4681,1.9222,1.3132,-1.1806,-0.1739,-1.068
0,-0.1834,1.3041,0.5537,0.1477,-0.3709,0.9808,0.2102,0.1766,-1.1492
0,-0.1834,1.3041,0.5537,0.1477,-0.3709,0.9808,0.2102,0.1766,-1.1492
0,-1.6054,2.0969,-0.9644,0.8801,-1.6057,-0.0164,2.9254,-0.7873,-0.6617
0,-1.0129,0.3131,-0.6095,-0.2184,-0.6061,-1.0136,0.8062,-0.4368,0.6385
0,0.1721,-1.3715,-0.925,-0.4931,-1.1353,-1.0136,0.0115,-0.612,1.0448
0,0.4091,0.3131,1.3621,0.4681,1.9222,1.3132,-1.1806,-0.1739,-1.068
0,0.5276,0.4122,1.3621,0.6512,1.2755,1.3132,-0.9819,0.089,-1.068
0,-1.1314,0.8086,-0.1363,0.0104,-0.8413,-0.3488,0.2102,0.1766,-0.2554
0,1.1201,-0.3806,1.1452,0.3766,0.3935,1.3132,-1.1806,0.4395,-1.393
0,0.6461,-1.1733,0.0904,0.6054,-0.2533,0.316,0.6737,-1.313,-0.6617
0,0.0536,-0.876,-0.2743,0.5597,-1.2529,0.316,0.6737,-1.1378,-1.1492
0,-0.5389,-1.4706,-0.9447,2.1159,0.2759,-0.3488,0.1439,-1.1378,-0.5804
0,-0.1834,-0.876,-1.0432,-0.905,1.6283,-1.0136,0.5413,-0.0863,0.3947
0,0.6461,1.1059,0.12,-0.5846,-0.3709,-0.0164,-0.3196,-0.612,-0.0116
1,-0.4204,-0.3806,0.2383,-0.3557,0.7463,0.6484,1.7333,0.4395,-0.6617
1,-0.8944,0.214,-0.7081,-0.0811,0.6875,-0.6812,0.74,0.7023,0.3135
0,-0.8944,0.214,-0.7278,0.0104,0.6287,-0.6812,0.8062,0.7023,0.3135
0,-1.3684,-0.1824,0.7903,-1.1796,-1.6645,-0.0164,1.336,-1.0501,0.0697
1,-0.4204,-0.3806,0.2383,-0.3557,0.7463,0.6484,1.7333,0.4395,-0.6617
0,-0.4204,1.5023,1.3227,-0.3557,1.3931,1.3132,0.2764,0.7023,-1.2305
0,-0.3019,-0.3806,1.855,-0.4931,0.6287,1.3132,0.3426,0.1766,-1.068
0,-0.0649,-0.0833,0.3369,-0.5388,1.1579,0.6484,0.0115,0.2642,-1.3117
0,-0.1834,-0.0833,1.8353,-0.4473,0.5111,1.3132,0.4751,0.6147,-0.7429
0,1.5941,-0.4797,-1.0235,-0.8592,0.0407,-0.6812,-0.4521,-0.9625,0.1509
0,0.2906,0.9077,0.81,-0.0354,0.8051,1.3132,-0.1872,-0.4368,-1.4743
1,-0.0649,-0.876,-0.8855,-0.4931,-0.3121,-0.6812,-0.2534,0.4395,0.2322
0,1.4756,0.0158,-0.8855,-0.7677,-1.0177,-0.6812,0.2764,0.2642,1.0448
0,-0.6574,0.3131,-0.8264,-0.0354,-0.9001,-0.3488,0.74,-0.5244,-0.2554
0,0.2906,0.9077,0.81,-0.0354,0.8051,1.3132,-0.1872,-0.4368,-1.4743
0,1.2386,-0.6779,-1.0235,-0.31,0.1583,-0.6812,0.1439,0.4395,0.2322
0,1.9496,-0.6779,-0.4123,-0.4473,-0.6649,0.316,-0.0547,0.3518,-0.6617
0,1.4756,-0.7769,-0.8658,-0.4015,-0.9589,-0.6812,-0.4521,0.4395,0.5572
0,-0.6574,-0.1824,-1.0432,-0.2642,0.0995,-1.0136,-1.2468,-0.8749,0.3135
0,-1.4869,-1.1733,-0.9841,-0.0811,1.0403,-0.6812,0.6075,-1.0501,-0.3366
0,-0.5389,3.187,-0.2349,0.5597,-1.1941,0.316,1.2698,-1.1378,-1.2305
1,-0.6574,0.6104,-0.3532,-0.5388,-0.9589,-0.6812,1.2698,0.7899,1.2073
0,0.0536,-0.2815,-0.4518,0.3766,-0.7237,-0.0164,-1.313,-0.9625,-0.9054
1,1.2386,-0.5788,0.3171,-0.1269,0.6287,-0.3488,-0.4521,-1.4882,0.801
0,0.8831,-0.9751,0.7509,0.4224,1.3343,0.9808,-0.3196,-0.5244,-0.4991
0,0.0536,-0.2815,-0.4518,0.3766,-0.7237,-0.0164,-1.313,-0.9625,-0.9054
0,0.4091,-0.9751,-1.0235,0.102,0.3347,-0.6812,-0.3196,-0.3491,-0.0928
0,1.5941,-0.4797,0.2186,0.1477,-1.3705,0.9808,-0.8494,3.0681,-0.6617
0,0.6461,-0.3806,1.5001,0.9258,0.7463,1.3132,-1.9753,-0.612,-1.3117
0,0.6461,-0.3806,1.5001,0.9258,0.7463,1.3132,-1.9753,-0.612,-1.3117
1,-0.8944,0.4122,-0.9644,-0.4473,0.1583,-1.346,0.6737,-0.612,1.5324
1,-1.961,1.6014,-0.9841,-0.4473,0.4523,-1.6784,1.1373,-1.4006,1.2886
1,-1.961,1.6014,-0.9841,-0.4473,0.4523,-1.6784,1.1373,-1.4006,1.2886
1,-0.8944,0.4122,-0.9644,-0.4473,0.1583,-1.346,0.6737,-0.612,1.5324
0,-0.5389,-0.5788,1.5987,0.4224,-0.4885,1.3132,-1.3792,-0.7873,-1.1492
0,-0.6574,0.8086,-0.3138,0.1477,-1.2529,-0.3488,0.6075,-0.8749,0.0697
0,0.6461,-0.3806,1.5001,0.9258,0.7463,1.3132,-1.9753,-0.612,-1.3117
0,-0.1834,-0.3806,1.3227,0.1935,1.6871,0.9808,-0.2534,0.089,-0.8242
0,0.1721,-0.4797,1.3029,0.2393,2.1574,0.9808,-0.1872,0.0013,-0.5804
0,1.8311,-0.0833,0.4552,0.102,0.2171,0.9808,-0.3196,0.8776,-0.7429
1,-0.1834,1.7996,-0.7869,-0.5388,-0.6061,-1.346,-0.717,-0.4368,1.6949
0,0.7646,0.1149,0.5044,0.4224,-0.9001,0.9808,-0.717,0.4395,-0.9867
0,3.4901,1.4032,0.6819,-0.5388,-1.7821,0.6484,-2.1077,-1.7511,-0.4179
0,0.2906,0.214,-0.9644,0.9258,-0.3709,-1.0136,-0.4521,0.4395,1.7761
0,1.2386,-0.876,-0.9644,-0.0354,-1.0765,-0.6812,-0.3859,-0.8749,0.3947
0,0.8831,1.9978,-1.1024,-0.4015,-1.8409,-1.346,-1.0481,-0.8749,0.7198
1,-0.6574,-0.5788,-0.3631,-0.3557,-0.2533,-0.6812,1.0711,-1.4006,0.801
0,0.7646,-0.0833,2.2296,0.2393,-0.1357,1.6456,-0.6508,1.3157,-0.2554
0,0.0536,-0.4797,0.2186,-0.2642,0.8639,-0.3488,-0.5183,-1.9264,0.7198
0,0.4091,0.4122,-0.2546,-0.0811,-0.9589,-1.0136,-1.0481,-0.6996,1.6949
0,-1.1314,-0.4797,1.2832,0.3766,1.2755,0.9808,0.6075,-0.8749,-0.9054
0,-1.0129,3.8807,-1.0235,0.6512,-1.5469,-0.3488,-0.5183,-1.2254,-1.4743
0,-0.5389,-0.2815,-0.1758,0.1477,0.3347,0.316,0.0115,1.6662,-1.068
0,-0.5389,0.5113,-0.1758,0.102,0.3935,0.316,0.0115,1.4909,-0.9867
0,0.2906,0.6104,-1.0235,0.3308,1.5107,-0.0164,-0.6508,-0.5244,-1.068
0,-0.0649,0.0158,3.0774,0.102,0.7463,2.3104,-1.7104,0.089,-1.4743
0,0.0536,-0.0833,1.5001,0.1935,1.6871,1.3132,-0.0547,0.7899,-0.7429
0,-0.0649,-0.1824,1.0861,-0.1269,1.6871,0.9808,-1.1143,1.2281,-0.9867
0,-0.0649,0.1149,1.0861,-0.1269,1.8046,0.9808,-1.1143,1.2281,-0.9867
0,-0.1834,-0.3806,0.5932,-0.2642,0.8051,0.316,-0.4521,1.0528,-0.4991
0,-1.1314,0.214,-0.4321,-0.3557,0.3935,-0.6812,-0.2534,0.089,0.3947
1,-0.0649,2.4933,-0.5109,-0.5388,-0.5473,-1.0136,0.4751,0.7023,1.7761
0,-0.4204,0.0158,0.4157,0.0562,1.0991,0.6484,-0.6508,0.4395,-1.3117
0,-0.3019,0.0158,0.4157,0.285,1.1579,0.6484,-0.6508,0.5271,-1.3117
0,-0.0649,0.0158,3.0774,0.102,0.7463,2.3104,-1.7104,0.089,-1.4743
0,-0.0649,0.0158,0.3171,-0.0354,-0.4297,-0.3488,-1.1143,-1.0501,0.7198
0,-0.3019,-1.2724,-0.2546,0.4224,-0.0769,-0.0164,1.1373,-0.612,-0.7429
0,-0.5389,0.1149,-0.5504,7.0591,2.3338,-0.0164,-1.1143,-0.6996,-1.1492
0,-0.5389,0.214,-0.5701,6.9218,2.3926,-0.0164,-1.1143,-0.8749,-1.1492
0,-0.5389,0.1149,-0.5504,6.9218,2.3338,-0.0164,-1.1806,-0.9625,-1.1492
0,-0.0649,-0.1824,0.2777,0.285,1.0991,0.6484,-0.3859,-0.1739,-1.3117
0,0.2906,0.4122,1.3227,0.1935,0.9815,1.3132,-0.5845,0.0013,-1.393
0,-0.0649,-0.1824,0.2777,0.285,1.0991,0.6484,-0.3859,-0.1739,-1.3117
0,-0.0649,-0.0833,1.9141,0.1477,1.1579,1.3132,-0.2534,0.089,-0.9867
0,0.2906,0.4122,1.3227,0.1935,0.9815,1.3132,-0.5845,0.0013,-1.393
0,0.0536,2.5924,1.3424,0.1935,1.0403,0.9808,0.0777,0.089,-0.7429
0,-0.0649,-0.1824,1.4804,-0.5388,0.2171,0.316,0.9386,0.3518,1.2073
0,-1.2499,0.0158,-0.8067,0.3308,0.0407,-0.6812,0.6075,0.089,-0.2554
0,-0.5389,-0.6779,1.0269,-0.1727,0.5699,0.9808,-0.2534,-0.5244,-1.393
0,0.1721,-1.1733,0.3763,-0.0354,0.1583,0.6484,0.1439,-1.313,-1.068
0,3.9641,1.6014,-0.0377,0.1477,-0.9001,0.9808,-1.313,0.1766,-0.4991
0,-0.0649,2.8897,-0.8264,-0.2642,-1.1941,-0.0164,0.8724,2.1919,-0.2554
0,-0.8944,1.205,-1.0827,0.102,-0.7237,-0.3488,0.2102,2.4548,-0.8242
0,-1.4869,-0.2815,0.6523,-0.6304,-1.3705,-0.0164,0.8062,-1.313,-0.0116
1,-0.0649,-0.9751,-0.9841,-0.3557,-0.0181,-0.6812,0.8724,0.8776,0.5572
0,0.1721,-1.1733,0.3763,-0.0354,0.1583,0.6484,0.1439,-1.313,-1.068
0,-0.1834,-1.4706,-0.2152,0.2393,-0.2533,-0.0164,1.6671,-1.0501,-0.6617
1,-0.7759,-0.2815,-0.9841,-0.7219,-0.0181,-1.0136,0.74,-0.4368,0.476
0,-1.2499,-0.1824,0.5537,-0.0811,1.1579,0.6484,0.8062,-0.9625,-0.9054
0,0.7646,-0.0833,0.12,-0.4473,0.5699,-0.0164,-1.0481,-1.4006,0.3947
0,-1.2499,-0.1824,0.5537,-0.0811,1.1579,0.6484,0.8062,-0.9625,-0.9054
0,-1.3684,0.0158,2.1902,-0.0811,1.4519,1.6456,0.8062,-0.4368,-0.9054
0,0.7646,-0.4797,0.12,-0.4473,0.4523,-0.0164,-0.9819,-1.4882,0.3947
0,0.7646,-0.0833,0.12,-0.4473,0.5699,-0.0164,-1.0481,-1.4006,0.3947
0,0.4091,4.0789,0.6129,1.1089,-0.1357,0.9808,-1.2468,0.5271,-1.1492
1,-0.7759,-0.2815,-0.9841,-0.7219,-0.0181,-1.0136,0.74,-0.4368,0.476
0,-0.4204,-0.876,-1.1024,-0.1269,-0.1357,-0.0164,1.5347,-0.8749,-1.1492
0,-0.6574,2.196,-0.9052,0.0104,-0.2533,-0.3488,1.336,0.4395,-0.0928
0,0.2906,-0.3806,2.2493,0.0104,0.2171,1.978,0.8724,-0.8749,-1.4743
0,-0.5389,-1.0742,-0.7869,0.102,0.3347,-0.0164,2.0645,0.089,-0.6617
0,0.2906,-0.2815,0.7706,-0.2184,1.8046,0.9808,-0.121,0.2642,-1.1492
0,-0.5389,-1.0742,-0.7869,0.102,0.3347,-0.0164,2.0645,0.089,-0.6617
0,0.2906,-0.3806,2.2493,0.0104,0.2171,1.978,0.8724,-0.8749,-1.4743
0,-0.0649,3.5834,0.6523,0.7428,-0.5473,0.9808,1.2035,-0.2615,-1.3117
0,1.7126,0.0158,0.2777,-0.2184,0.1583,1.3132,1.0049,0.1766,-0.7429
0,1.5941,-0.0833,0.2777,-0.31,0.8051,1.3132,0.8062,0.1766,-0.8242
0,0.4091,-0.4797,1.5592,0.5597,1.1579,1.3132,-0.6508,-0.4368,-1.2305
0,0.4091,-0.4797,1.5592,0.5597,1.1579,1.3132,-0.6508,-0.4368,-1.2305
0,0.4091,-0.4797,1.5592,0.5597,1.1579,1.3132,-0.6508,-0.4368,-1.2305
0,0.4091,-0.4797,1.5592,0.5597,1.1579,1.3132,-0.6508,-0.4368,-1.2305
0,-0.0649,2.3942,1.3424,-0.0811,1.0991,0.9808,0.5413,0.089,-0.7429
1,0.1721,-0.1824,-0.9841,-0.4015,0.2759,-0.6812,1.0049,-0.6996,0.476
0,-0.7759,-0.2815,1.8057,-0.31,-0.4297,1.3132,1.932,1.3157,-0.7429
0,0.5276,0.4122,1.441,0.1935,0.8051,1.6456,0.0777,-0.2615,-1.4743
0,1.0016,0.3131,0.2777,-0.6761,-0.7237,-0.0164,-0.3859,0.089,-0.0928
1,0.2906,-0.6779,-0.7869,-0.905,-0.7237,-1.346,-0.2534,-0.9625,0.7198
0,-0.0649,-0.3806,-0.7278,0.0562,1.7165,-0.3488,0.74,0.7899,-0.6617
0,0.0536,1.205,0.9481,-0.1269,0.2759,1.3132,-0.3196,-0.2615,-1.4743
0,-0.8944,-0.9751,-0.8658,-0.3557,-0.9001,-0.6812,1.2035,2.63,0.6385
1,-0.0649,-0.6779,-0.8461,-0.7219,-0.5473,-1.346,-0.1872,1.0528,1.6949
1,-1.2499,-0.7769,-0.9841,-0.6761,-1.3705,-1.0136,0.4088,-1.1378,0.3135
1,-1.4869,-0.876,-0.9841,-0.7219,-1.3705,-1.0136,0.4088,-1.0501,0.3135
0,-0.8944,1.3041,0.7903,-0.4015,-1.0177,0.6484,1.2698,-0.3491,-0.4179
0,-1.1314,-0.6779,-0.3532,0.3308,0.2759,0.6484,3.5214,1.8414,-0.4179
0,1.9496,-0.1824,1.9338,1.292,0.3347,1.3132,-1.1143,0.089,-0.5804
0,0.0536,1.205,0.9481,-0.1269,0.2759,1.3132,-0.3196,-0.2615,-1.4743
0,-1.2499,-0.3806,-0.5701,-0.7677,-1.7821,-1.0136,2.2631,-0.5244,0.9635
0,-1.2499,-0.3806,-0.9644,0.3766,0.0995,-0.3488,0.1439,0.2642,-0.9867
1,-0.1834,-0.1824,-1.0432,-0.2642,0.5699,-0.0164,0.8724,0.7899,-0.7429
1,-0.6574,0.7095,-0.1363,-0.4931,-1.6057,-0.3488,0.5413,-0.6996,0.3947
1,-0.6574,0.7095,-0.1363,-0.4931,-1.6057,-0.3488,0.5413,-0.6996,0.3947
0,-0.5389,-0.4797,-0.9052,-0.6304,-0.7237,-1.0136,0.8724,0.089,1.0448
0,-1.2499,0.8086,-1.0827,-0.4015,-1.8997,-1.346,0.6075,-1.313,0.7198
0,0.0536,-1.5697,-0.1955,0.102,0.0407,-0.0164,0.8724,-0.612,-0.2554
0,0.0536,0.1149,2.5746,-0.1269,0.0407,1.978,-1.7104,-0.1739,-1.3117
0,0.0536,0.0158,0.3566,-0.4473,-1.1941,-0.0164,-0.121,-1.4006,-0.2554
0,0.4091,0.1149,1.4212,-0.0354,1.8046,1.3132,-0.717,0.8776,-0.7429
0,-0.7759,-0.3806,-1.0235,-0.3557,-0.7825,-1.0136,-0.5845,-0.0863,0.0697
0,0.0536,0.1149,2.5746,-0.1269,0.0407,1.978,-1.7104,-0.1739,-1.3117
0,0.0536,0.4122,0.3763,0.3308,-0.1945,0.9808,0.4088,0.1766,-1.068
0,-1.8425,2.9888,0.1003,-0.1269,-0.0769,-0.0164,1.0049,0.7023,-0.6617
0,-1.8425,3.0879,0.1397,-0.0811,-0.0769,0.316,1.0049,0.7023,-0.6617
0,-1.724,3.0879,0.12,-0.0354,0.0407,-0.0164,1.0049,0.7023,-0.6617
0,0.0536,0.4122,0.3763,0.3308,-0.1945,0.9808,0.4088,0.1766,-1.068
0,-1.961,3.187,0.12,-0.0811,-0.1357,-0.0164,0.9386,0.7899,-0.6617
